industry_name,employees_at_location_range,product_type,product,currency,year,spend
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,227.4106654
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2011,338.2111212
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,2033.803079
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,2049.556488
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,1348.277422
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,2315.241492
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,1417.655736
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,1509.170787
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,2279.501567
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,1310.100148
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2011,1415.20864
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,16222.6242
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,7681.104601
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,4388.061281
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,6972.604893
Construction,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,4825.026689
Wholesale & retail trade,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,5057.398998
Transportation and Public Utilities,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,7532.903132
Public Administration,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,16595.35409
Nonclassified Establishments,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2011,4747.784137
"Finance, Insurance, and Real Estate",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,198593.5282
Services,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,56617.79509
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,27807.6398
Manufacturing,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,80450.51468
Construction,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,52745.34955
Wholesale & retail trade,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,138734.2957
Transportation and Public Utilities,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,116377.448
Public Administration,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,218974.9701
Nonclassified Establishments,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2011,50074.24189
"Finance, Insurance, and Real Estate",Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,42.76464849
Services,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,47.91992345
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,32.16755412
Manufacturing,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,43.4756314
Construction,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,33.39150695
Wholesale & retail trade,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,32.17146185
Transportation and Public Utilities,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,46.5080855
Public Administration,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,22.38849282
Nonclassified Establishments,Very Small 0 - 9,IP Voice,IP Voice,EUR,2011,33.29675521
"Finance, Insurance, and Real Estate",Small 10 - 49,IP Voice,IP Voice,EUR,2011,227.4619523
Services,Small 10 - 49,IP Voice,IP Voice,EUR,2011,229.2238245
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,IP Voice,IP Voice,EUR,2011,150.7922855
Manufacturing,Small 10 - 49,IP Voice,IP Voice,EUR,2011,258.9382204
Construction,Small 10 - 49,IP Voice,IP Voice,EUR,2011,158.5516045
Wholesale & retail trade,Small 10 - 49,IP Voice,IP Voice,EUR,2011,168.7867115
Transportation and Public Utilities,Small 10 - 49,IP Voice,IP Voice,EUR,2011,254.9410423
Public Administration,Small 10 - 49,IP Voice,IP Voice,EUR,2011,146.5225126
Nonclassified Establishments,Small 10 - 49,IP Voice,IP Voice,EUR,2011,158.2779195
"Finance, Insurance, and Real Estate",Medium 50 - 249,IP Voice,IP Voice,EUR,2011,2801.240325
Services,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,1326.334118
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,IP Voice,IP Voice,EUR,2011,757.7081279
Manufacturing,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,1203.993988
Construction,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,833.1610944
Wholesale & retail trade,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,873.2859641
Transportation and Public Utilities,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,1300.743441
Public Administration,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,2865.60143
Nonclassified Establishments,Medium 50 - 249,IP Voice,IP Voice,EUR,2011,819.823243
"Finance, Insurance, and Real Estate",Large 250 +,IP Voice,IP Voice,EUR,2011,32664.32741
Services,Large 250 +,IP Voice,IP Voice,EUR,2011,9312.399114
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,IP Voice,IP Voice,EUR,2011,4573.75353
Manufacturing,Large 250 +,IP Voice,IP Voice,EUR,2011,13232.3645
Construction,Large 250 +,IP Voice,IP Voice,EUR,2011,8675.465825
Wholesale & retail trade,Large 250 +,IP Voice,IP Voice,EUR,2011,22818.78215
Transportation and Public Utilities,Large 250 +,IP Voice,IP Voice,EUR,2011,19141.56569
Public Administration,Large 250 +,IP Voice,IP Voice,EUR,2011,36016.63248
Nonclassified Establishments,Large 250 +,IP Voice,IP Voice,EUR,2011,8236.126558
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2011,0
Services,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2011,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2011,0
Manufacturing,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2011,0
Construction,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2011,0
