industry_name,employees_at_location_range,product_type,product,currency,year,spend
Public Administration,Small 10 - 49,Wireline Data,IP-VPN,EUR,2015,132.8833541
Nonclassified Establishments,Small 10 - 49,Wireline Data,IP-VPN,EUR,2015,143.5445001
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,11009.79916
Services,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,5212.9309
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,2978.043059
Manufacturing,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,4732.093805
Construction,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,3274.598124
Wholesale & retail trade,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,3432.302107
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,5112.351093
Public Administration,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,11262.75954
Nonclassified Establishments,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2015,3222.175965
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,IP-VPN,EUR,2015,138196.0742
Services,Large 250 +,Wireline Data,IP-VPN,EUR,2015,39398.85193
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,IP-VPN,EUR,2015,19350.61373
Manufacturing,Large 250 +,Wireline Data,IP-VPN,EUR,2015,55983.42201
Construction,Large 250 +,Wireline Data,IP-VPN,EUR,2015,36704.11774
Wholesale & retail trade,Large 250 +,Wireline Data,IP-VPN,EUR,2015,96541.59024
Transportation and Public Utilities,Large 250 +,Wireline Data,IP-VPN,EUR,2015,80984.04106
Public Administration,Large 250 +,Wireline Data,IP-VPN,EUR,2015,152378.9898
Nonclassified Establishments,Large 250 +,Wireline Data,IP-VPN,EUR,2015,34845.36335
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Services,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Manufacturing,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Construction,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Public Administration,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2015,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,29.40135493
Services,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,29.62909162
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,19.49116089
Manufacturing,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,33.46992518
Construction,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,20.4941176
Wholesale & retail trade,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,21.81709057
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,32.95325656
Public Administration,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,18.93925712
Nonclassified Establishments,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2015,20.45874153
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,964.0977009
Services,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,456.4819598
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,260.7790048
Manufacturing,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,414.3763836
Construction,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,286.7475127
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,300.5572149
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,447.6744639
Public Administration,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,986.2487434
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2015,282.157049
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,10055.43676
Services,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,2866.743258
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,1407.991318
Manufacturing,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,4073.471427
Construction,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,2670.668736
Wholesale & retail trade,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,7024.568976
Transportation and Public Utilities,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,5892.569006
Public Administration,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,11087.41551
Nonclassified Establishments,Large 250 +,Wireline Data,Legacy Data Services,EUR,2015,2535.42186
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,174.7955906
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,195.8671851
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,131.4811841
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,177.7016516
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,136.4839508
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,131.4971565
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,190.0964596
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,91.51039383
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2016,136.0966639
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,810.6414493
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,816.9205068
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,537.4018628
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,922.8183096
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,565.0549519
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,601.5313906
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,908.5729458
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,522.1850108
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2016,564.0795782
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,6557.962165
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,3105.070595
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,1773.864666
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,2818.661058
Construction,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,1950.507026
Wholesale & retail trade,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,2044.443049
Transportation and Public Utilities,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,3045.160458
Public Administration,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,6708.637453
Nonclassified Establishments,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2016,1919.281884
"Finance, Insurance, and Real Estate",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,80497.32874
Services,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,22949.294
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,11271.46862
Manufacturing,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,32609.57991
Construction,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,21379.64807
Wholesale & retail trade,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,56234.15984
Transportation and Public Utilities,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,47172.09959
Public Administration,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,88758.6837
Nonclassified Establishments,Large 250 +,Wirelines Voice,Traditional Fixed Voice,EUR,2016,20296.94899
"Finance, Insurance, and Real Estate",Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,116.1346755
Services,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,130.1347013
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,87.3564636
Manufacturing,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,118.0654705
Construction,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,90.68031565
Wholesale & retail trade,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,87.36707568
Transportation and Public Utilities,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,126.3006153
Public Administration,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,60.79975961
Nonclassified Establishments,Very Small 0 - 9,IP Voice,IP Voice,EUR,2016,90.42300118
"Finance, Insurance, and Real Estate",Small 10 - 49,IP Voice,IP Voice,EUR,2016,864.6364941
Services,Small 10 - 49,IP Voice,IP Voice,EUR,2016,871.3337859
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,IP Voice,IP Voice,EUR,2016,573.1970195
Manufacturing,Small 10 - 49,IP Voice,IP Voice,EUR,2016,984.2852085
Construction,Small 10 - 49,IP Voice,IP Voice,EUR,2016,602.69202
Wholesale & retail trade,Small 10 - 49,IP Voice,IP Voice,EUR,2016,641.5980742
Transportation and Public Utilities,Small 10 - 49,IP Voice,IP Voice,EUR,2016,969.0909923
Public Administration,Small 10 - 49,IP Voice,IP Voice,EUR,2016,556.9666064
Nonclassified Establishments,Small 10 - 49,IP Voice,IP Voice,EUR,2016,601.6516789
"Finance, Insurance, and Real Estate",Medium 50 - 249,IP Voice,IP Voice,EUR,2016,6389.8037
Services,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,3025.450754
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,IP Voice,IP Voice,EUR,2016,1728.379445
Manufacturing,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,2746.385295
Construction,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,1900.492363
Wholesale & retail trade,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,1992.01969
Transportation and Public Utilities,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,2967.076825
Public Administration,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,6536.61539
Nonclassified Establishments,Medium 50 - 249,IP Voice,IP Voice,EUR,2016,1870.067893
"Finance, Insurance, and Real Estate",Large 250 +,IP Voice,IP Voice,EUR,2016,69495.907
Services,Large 250 +,IP Voice,IP Voice,EUR,2016,19812.85623
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,IP Voice,IP Voice,EUR,2016,9731.017755
Manufacturing,Large 250 +,IP Voice,IP Voice,EUR,2016,28152.88865
Construction,Large 250 +,IP Voice,IP Voice,EUR,2016,18457.73092
Wholesale & retail trade,Large 250 +,IP Voice,IP Voice,EUR,2016,48548.74073
Transportation and Public Utilities,Large 250 +,IP Voice,IP Voice,EUR,2016,40725.17557
Public Administration,Large 250 +,IP Voice,IP Voice,EUR,2016,76628.19778
Nonclassified Establishments,Large 250 +,IP Voice,IP Voice,EUR,2016,17523.00233
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Services,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Manufacturing,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Construction,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Public Administration,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Ethernet,EUR,2016,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Ethernet,EUR,2016,52.08049465
Services,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,52.48389916
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Ethernet,EUR,2016,34.52593605
Manufacturing,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,59.28741254
Construction,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,36.30253723
Wholesale & retail trade,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,38.6460036
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,58.37220448
Public Administration,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,33.54831372
Nonclassified Establishments,Small 10 - 49,Wireline Data,Ethernet,EUR,2016,36.23987335
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,3195.28456
Services,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,1512.906582
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,864.2932418
Manufacturing,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,1373.357139
Construction,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,950.360009
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,996.1291548
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,1483.716122
Public Administration,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,3268.699198
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Ethernet,EUR,2016,935.1459518
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Ethernet,EUR,2016,123496.451
Services,Large 250 +,Wireline Data,Ethernet,EUR,2016,35208.07966
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Ethernet,EUR,2016,17292.33001
Manufacturing,Large 250 +,Wireline Data,Ethernet,EUR,2016,50028.5842
Construction,Large 250 +,Wireline Data,Ethernet,EUR,2016,32799.97862
Wholesale & retail trade,Large 250 +,Wireline Data,Ethernet,EUR,2016,86272.66614
Transportation and Public Utilities,Large 250 +,Wireline Data,Ethernet,EUR,2016,72369.94046
Public Administration,Large 250 +,Wireline Data,Ethernet,EUR,2016,136170.76
Nonclassified Establishments,Large 250 +,Wireline Data,Ethernet,EUR,2016,31138.93599
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,234.7640493
Services,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,263.0648367
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,176.5894385
Manufacturing,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,238.6671149
Construction,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,183.3085425
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,176.6108906
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,255.3143043
Public Administration,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,122.9055638
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Internet Access,EUR,2016,182.7883862
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Internet Access,EUR,2016,1139.419409
Services,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,1148.245111
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Internet Access,EUR,2016,755.3599849
Manufacturing,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,1297.092684
Construction,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,794.2285456
Wholesale & retail trade,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,845.4990084
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,1277.06972
Public Administration,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,733.9715195
Nonclassified Establishments,Small 10 - 49,Wireline Data,Internet Access,EUR,2016,792.8575823
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,10267.81302
Services,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,4861.61455
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,2777.343062
Manufacturing,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,4413.182629
Construction,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,3053.912317
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,3200.988117
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,4767.813143
Public Administration,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,10503.72559
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Internet Access,EUR,2016,3005.023058
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Internet Access,EUR,2016,82324.00995
Services,Large 250 +,Wireline Data,Internet Access,EUR,2016,23470.06959
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Internet Access,EUR,2016,11527.24581
Manufacturing,Large 250 +,Wireline Data,Internet Access,EUR,2016,33349.57101
Construction,Large 250 +,Wireline Data,Internet Access,EUR,2016,21864.80456
Wholesale & retail trade,Large 250 +,Wireline Data,Internet Access,EUR,2016,57510.25042
Transportation and Public Utilities,Large 250 +,Wireline Data,Internet Access,EUR,2016,48242.54987
Public Administration,Large 250 +,Wireline Data,Internet Access,EUR,2016,90772.83525
Nonclassified Establishments,Large 250 +,Wireline Data,Internet Access,EUR,2016,20757.53639
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Services,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Manufacturing,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Construction,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Public Administration,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,IP-VPN,EUR,2016,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,203.2159695
Services,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,204.7900375
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,134.7187967
Manufacturing,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,231.3370697
Construction,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,141.6510221
Wholesale & retail trade,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,150.7951325
Transportation and Public Utilities,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,227.7659651
Public Administration,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,130.9041541
Nonclassified Establishments,Small 10 - 49,Wireline Data,IP-VPN,EUR,2016,141.4065102
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,10873.83922
Services,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,5148.556453
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,2941.267226
Manufacturing,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,4673.657212
Construction,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,3234.160135
Wholesale & retail trade,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,3389.916633
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,5049.218705
Public Administration,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,11123.6758
Nonclassified Establishments,Medium 50 - 249,Wireline Data,IP-VPN,EUR,2016,3182.385337
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,IP-VPN,EUR,2016,135568.9396
Services,Large 250 +,Wireline Data,IP-VPN,EUR,2016,38649.87199
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,IP-VPN,EUR,2016,18982.75475
Manufacturing,Large 250 +,Wireline Data,IP-VPN,EUR,2016,54919.16612
Construction,Large 250 +,Wireline Data,IP-VPN,EUR,2016,36006.36522
Wholesale & retail trade,Large 250 +,Wireline Data,IP-VPN,EUR,2016,94706.31558
Transportation and Public Utilities,Large 250 +,Wireline Data,IP-VPN,EUR,2016,79444.51848
Public Administration,Large 250 +,Wireline Data,IP-VPN,EUR,2016,149482.2352
Nonclassified Establishments,Large 250 +,Wireline Data,IP-VPN,EUR,2016,34182.94612
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Services,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Manufacturing,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Construction,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Wholesale & retail trade,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Transportation and Public Utilities,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Public Administration,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
Nonclassified Establishments,Very Small 0 - 9,Wireline Data,Legacy Data Services,EUR,2016,0
"Finance, Insurance, and Real Estate",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,22.45032205
Services,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,22.6242175
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,14.88308413
Manufacturing,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,25.55700582
Construction,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,15.64892303
Wholesale & retail trade,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,16.65912032
Transportation and Public Utilities,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,25.16248738
Public Administration,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,14.46166079
Nonclassified Establishments,Small 10 - 49,Wireline Data,Legacy Data Services,EUR,2016,15.62191053
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,759.1532184
Services,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,359.4446378
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,205.3435254
Manufacturing,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,326.2897162
Construction,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,225.7917397
Wholesale & retail trade,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,236.6658242
Transportation and Public Utilities,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,352.5094082
Public Administration,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,776.5954705
Nonclassified Establishments,Medium 50 - 249,Wireline Data,Legacy Data Services,EUR,2016,222.1771006
"Finance, Insurance, and Real Estate",Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,7627.480803
Services,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,2174.547928
"Agriculture, Forestry, and Fishing plus mining",Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,1068.021907
Manufacturing,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,3089.903089
Construction,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,2025.816978
Wholesale & retail trade,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,5328.43737
Transportation and Public Utilities,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,4469.766758
Public Administration,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,8410.281019
Nonclassified Establishments,Large 250 +,Wireline Data,Legacy Data Services,EUR,2016,1923.226412
"Finance, Insurance, and Real Estate",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,136.6197397
Services,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,153.0892385
"Agriculture, Forestry, and Fishing plus mining",Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,102.765322
Manufacturing,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,138.8911088
Construction,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,106.6754703
Wholesale & retail trade,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,102.777806
Transportation and Public Utilities,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,148.5788557
Public Administration,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,71.52426525
Nonclassified Establishments,Very Small 0 - 9,Wirelines Voice,Traditional Fixed Voice,EUR,2017,106.372768
"Finance, Insurance, and Real Estate",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,631.8094405
Services,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,636.703303
"Agriculture, Forestry, and Fishing plus mining",Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,418.8480253
Manufacturing,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,719.2394619
Construction,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,440.4006892
Wholesale & retail trade,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,468.8302229
Transportation and Public Utilities,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,708.1367046
Public Administration,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,406.9880954
Nonclassified Establishments,Small 10 - 49,Wirelines Voice,Traditional Fixed Voice,EUR,2017,439.6404884
"Finance, Insurance, and Real Estate",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2017,5123.886251
Services,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2017,2426.062873
"Agriculture, Forestry, and Fishing plus mining",Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2017,1385.961149
Manufacturing,Medium 50 - 249,Wirelines Voice,Traditional Fixed Voice,EUR,2017,2202.284533
