industry_name,employees_at_location_range,product_type,product,year,currency,spend
Retail Trade,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,6034.653151
Retail Trade,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,16625.25189
Retail Trade,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,163448.2118
Retail Trade,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,163448.2118
Retail Trade,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4550596.988
Retail Trade,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4550596.988
Nonclassified Establishments,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,61.77791815
Nonclassified Establishments,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,257.7697651
Nonclassified Establishments,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1010.906301
Nonclassified Establishments,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1010.906301
Nonclassified Establishments,50-99 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2666.416979
Nonclassified Establishments,100-249 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,4577.428384
Nonclassified Establishments,250-499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,13526.52474
Nonclassified Establishments,500-999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,32103.08941
Nonclassified Establishments,1000-2499 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,178563.1911
Nonclassified Establishments,2500-4999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,178563.1911
Nonclassified Establishments,5000-9999 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1076142.284
Nonclassified Establishments,10000+ Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,1076142.284
Transportation and Public Utilities,1-4 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,148.5881239
Transportation and Public Utilities,5-9 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,399.6368436
Transportation and Public Utilities,10-24 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2046.082179
Transportation and Public Utilities,25-49 Emp,Wireline Voice,Domestic Long Distance Services,2010,USD,2046.082179
