location,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Paris, France",IP Voice,Transportation and Public Utilities,1-9 Emp,77.0995903,81.38480603,88.40298988,99.09395681,111.6389013,123.4810729,133.5385619,142.700958,150.8994184,158.9325884,164.2850702,167.6433887,168.8548402
"Paris, France",IP Voice,"Agriculture, Forestry, and Fishing plus mining",10-49 Emp,194.6434899,232.5902099,304.8790867,398.2089105,497.4969938,582.9449611,640.138626,682.4299309,715.0909401,755.1109503,758.0726778,739.8679955,701.4420166
"Paris, France",IP Voice,Construction,10-49 Emp,209.0671036,250.0371211,328.1442293,429.2727422,537.0122329,630.0663627,692.7778057,739.5208332,775.9551759,820.4906942,824.8326485,806.1316555,765.3232899
"Paris, France",IP Voice,"Finance, Insurance, and Real Estate",10-49 Emp,312.0437025,376.7637193,503.140774,665.0350403,841.8958469,999.7204621,1113.024926,1202.742459,1277.298471,1366.889832,1390.596,1375.270655,1321.133103
"Paris, France",IP Voice,Manufacturing,10-49 Emp,336.0444382,398.5997572,514.704165,658.8454869,816.1079066,945.7436402,1027.647681,1077.132289,1112.880213,1158.322455,1145.804835,1101.484708,1028.198979
"Paris, France",IP Voice,Nonclassified Establishments,10-49 Emp,209.6829684,250.7520643,329.0810442,430.4279176,538.3840043,631.5575225,694.2539601,741.0674648,777.4717376,821.9812114,826.2166386,807.3717265,766.3930517
"Paris, France",IP Voice,Public Administration,10-49 Emp,192.929687,233.5051667,312.2913319,411.5586686,520.8791275,615.9406552,681.9293996,738.7133947,783.3935139,837.1730998,850.5240289,840.0151205,805.8756792
"Paris, France",IP Voice,Wholesale & retail trade,10-49 Emp,232.3029252,278.3107565,366.4962399,480.6403798,602.929903,708.9598313,781.1474409,836.3437465,879.813587,932.7206137,940.0953988,921.1800864,876.8399273
"Paris, France",IP Voice,Services,10-49 Emp,311.3606451,376.2254281,502.9848474,666.1338713,842.5155308,999.5013002,1111.16463,1202.950688,1277.720011,1367.551644,1391.479931,1376.349581,1322.36288
"Paris, France",IP Voice,Transportation and Public Utilities,10-49 Emp,346.8730618,416.7001427,554.5757898,723.7033224,910.3465987,1071.115075,1181.031803,1269.114454,1337.609318,1420.732382,1434.677063,1408.470436,1343.210021
"Paris, France",IP Voice,"Agriculture, Forestry, and Fishing plus mining",50-249 Emp,1551.366203,1712.52309,2012.502567,2213.914472,2464.842154,2705.98167,2937.744158,3160.931066,3322.837639,3568.803956,3756.84815,3924.716951,4068.746921
"Paris, France",IP Voice,Construction,50-249 Emp,1717.672664,1900.126514,2238.184621,2470.626527,2757.875279,3035.99898,3304.593619,3565.810144,3759.024988,4048.764943,4274.332727,4478.257099,4656.168609
"Paris, France",IP Voice,"Finance, Insurance, and Real Estate",50-249 Emp,4555.843479,5101.942103,6119.531163,6852.714662,7780.241251,8730.859335,9703.147075,10600.75516,11357.19461,12429.83989,13331.84278,14188.72559,14983.42086
"Paris, France",IP Voice,Manufacturing,50-249 Emp,2112.802263,2304.35079,2656.539873,2864.396157,3151.516112,3414.086595,3658.807324,3855.531641,3983.153421,4202.081738,4342.632404,4451.19644,4524.870322
"Paris, France",IP Voice,Nonclassified Establishments,50-249 Emp,1692.269911,1870.361442,2201.161443,2426.583041,2705.913266,2975.498171,3235.239106,3487.225948,3672.124979,3950.769921,4166.20812,4360.051385,4528.11745
"Paris, France",IP Voice,Public Administration,50-249 Emp,4732.141268,5246.508783,6212.986386,6833.281076,7628.091434,8354.663387,9031.898271,9787.945546,10305.44542,11085.83437,11688.65153,12230.70028,12700.2749
"Paris, France",IP Voice,Wholesale & retail trade,50-249 Emp,1900.417247,2105.269109,2486.064784,2749.688298,3077.607432,3395.471386,3703.76455,4005.467793,4232.059394,4568.612475,4834.137796,5076.360021,5290.15695
"Paris, France",IP Voice,Services,50-249 Emp,2630.048495,2935.488559,3505.43772,3904.872301,4399.870912,4887.553882,5368.740845,5856.2505,6234.214767,6780.448732,7227.997939,7646.405344,8027.136485
"Paris, France",IP Voice,Transportation and Public Utilities,50-249 Emp,2603.351561,2889.010296,3440.262784,3771.590249,4226.811779,4653.619555,5066.766045,5487.519555,5794.99174,6252.636365,6612.645056,6940.415761,7228.997331
"Paris, France",IP Voice,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,2471.222145,2771.637394,3215.318499,3677.351483,4019.14404,4292.806488,4482.368374,4662.06332,4768.463883,4841.56706,4831.733188,4756.81166,4619.047154
"Paris, France",IP Voice,Construction,250+ Emp,16676.24773,18725.22959,21709.83877,24840.8538,27228.83597,29155.83306,30527.4179,31750.82454,32525.90512,33076.43771,33061.73037,32601.42331,31708.75764
"Paris, France",IP Voice,"Finance, Insurance, and Real Estate",250+ Emp,47972.11681,54797.33099,64787.82248,75771.15056,85205.36627,93951.02991,101496.9002,107140.7134,112277.1844,116767.0225,119329.5123,120272.291,119537.7752
"Paris, France",IP Voice,Manufacturing,250+ Emp,20040.90944,22107.89839,25108.91757,28222.15742,30566.18591,32393.45511,33611.15052,34141.51733,34397.58851,34386.76289,33772.71541,32706.09896,31224.5725
"Paris, France",IP Voice,Nonclassified Establishments,250+ Emp,15868.84637,17796.52407,20616.16095,23558.33496,25795.18246,27592.75022,28866.61644,29984.81396,30682.49619,31166.60915,31117.19322,30648.54087,29774.54759
"Paris, France",IP Voice,Public Administration,250+ Emp,60870.53058,68446.93362,79627.60483,90855.40324,99492.20269,106149.914,110563.7336,115295.318,117955.9987,119794.5101,119581.7113,117757.9092,114377.4259
"Paris, France",IP Voice,Wholesale & retail trade,250+ Emp,19189.02532,21607.94197,25098.89545,28834.02689,31796.88697,34274.4481,36136.636,37667.39927,38773.40292,39621.23305,39797.01546,39435.57717,38545.0617
"Paris, France",IP Voice,Services,250+ Emp,18483.92346,20963.67147,24662.34933,28507.69324,31636.79404,34301.04984,36384.67862,38269.50552,39676.74637,40834.18163,41306.57822,41220.1116,40571.55298
"Paris, France",IP Voice,Transportation and Public Utilities,250+ Emp,44309.72179,49627.9817,57647.01774,65334.75926,71593.39112,76458.0861,79888.24227,82808.36259,84584.57044,85764.33446,85471.85803,84028.51823,81478.79751
