city,country,product,sub_product,infousa_industry,infousa_size,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Frankfurt,Germany,,IP Voice,Transportation and Public Utilities,50-249 Emp,1048.169974,1474.158061,1779.002095,2136.31615,2583.818035,3032.987814,3394.707554,3747.758048,3879.836308,4035.862782,3989.352841,3802.401449,3490.057217
Frankfurt,Germany,,IP Voice,"Agriculture, Forestry, and Fishing plus mining",250+ Emp,1121.808849,1394.797089,1698.434739,2010.41981,2359.235621,2682.344247,2884.40481,3032.553188,3074.918723,3096.941802,2969.533702,2750.033482,2456.776235
Frankfurt,Germany,,IP Voice,Construction,250+ Emp,7570.166167,9423.272961,11467.83572,13580.57418,15983.31364,18217.91439,19644.3986,20653.10091,20974.15794,21157.57178,20319.40067,18847.70979,16865.2364
Frankfurt,Germany,,IP Voice,"Finance, Insurance, and Real Estate",250+ Emp,21776.89498,27576.17497,34223.01348,41424.3302,50015.50908,58704.95335,65313.27251,69692.29926,72401.34871,74690.83226,73338.69535,69532.46228,63579.68546
Frankfurt,Germany,,IP Voice,Manufacturing,250+ Emp,9097.551022,11125.56512,13263.33857,15429.14367,17942.33645,20240.93055,21628.78107,22208.18555,22181.10308,21995.73033,20756.36478,18908.22543,16607.70828
Frankfurt,Germany,,IP Voice,Nonclassified Establishments,250+ Emp,7203.647117,8955.911771,10890.11989,12879.41702,15141.75971,17241.22786,18575.67258,19504.3561,19785.44544,19935.93676,19124.30806,17718.69891,15836.46983
Frankfurt,Germany,,IP Voice,Public Administration,250+ Emp,27632.11716,34445.19256,42061.86424,49670.93936,58401.8752,66327.3809,71147.78135,74996.66138,76063.30212,76627.3856,73493.69427,68078.83436,60835.00173
Frankfurt,Germany,,IP Voice,Wholesale & retail trade,250+ Emp,8710.839065,10873.96736,13258.04456,15763.65467,18664.75738,21416.26205,23253.9314,24501.68175,25002.82387,25343.99532,24458.83786,22798.70749,20501.32601
Frankfurt,Germany,,IP Voice,Services,250+ Emp,8390.758776,10549.74507,13027.44685,15585.24702,18570.78291,21432.88406,23413.54687,24893.33649,25585.34012,26119.86625,25386.59966,23830.39211,21579.17506
Frankfurt,Germany,,IP Voice,Transportation and Public Utilities,250+ Emp,20114.35439,24974.75483,30451.01054,35718.72172,42025.2862,47774.55215,51408.09746,53864.72615,54543.91303,54859.74876,52530.12802,48579.01786,43336.89757
