building_id,s_ocn,cust_name,man_employee_total,db_country_name,db_nace_code,db_employee_here,db_employee_total,db_sic_code,db_industry,db_industry_level_1,db_industry_level_2,db_industry_level_3,gl_revenue_year_2014,db_duns,sfdc_account_name,carrier_voice,colocation,colt_total,customer_asset_sales_data,customer_asset_sales_managed_services,data_centre_services,data_centre_services_installation_adjustment,data_installation_adjustment,dedicated_hosting,ethernet_point_to_point,ethernet_vpn,high_speed_service,incoming,in_services,intercompany_voice,internet_access,ip_voice,ipvpn_corporate,link,managed_service_installation_adjustment,other_bandwidth,other_misc_data,other_voice,professional_services,reseller_voice,shared_hosting,voice_connect,voice_line,others,channel
DEBAD-0000017034,4029080,BBK GMBH,2,GERMANY,0,2,2,8748,Services,70..89 - Services,"87 - Engineering, Accounting, Research, Management & Related Services",Business consulting services N.E.C.,0,333855059,BBK GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBAD-0000017034,4149646,KEWILL CSF GMBH,85,GERMANY,72.21,0,85,7372,Services,70..89 - Services,73 - Business Services,Pre packaged software,209596.29,322054586,KEWILL GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65880.01,69857.98,0.00,0.00,1200.00,0.00,41697.79,0.00,0.00,0.00,0.00,14320.01,2916.00,0.00,2400.00,0.00,0.00,0.00,11324.50,0.00,AGENTS
DEBAD-0000017453,4168634,CPM UNITED KINGDOM LIMITED,911,ENGLAND,93.05,0,911,8999,Services,70..89 - Services,89 - Services Not Elsewhere Classified,Services N.E.C.,577321.0057,226343135,CPM UNITED KINGDOM LIMITED,0,7354.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4445.46,0.00,0.00,0.00,3860.48,0.00,74.43,1231.81,283031.38,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,220551.08,71480.24,0.00,0
DEBAD-0000017453,DE18785,BBDO SERVICE GMBH,260,GERMANY,74.4,0,260,7311,Services,70..89 - Services,73 - Business Services,Advertising agencies,239004.61,316027630,BBDO Services GmbH,0,851.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141791.35,0.00,0.00,0.00,0.00,0.00,10645.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1528.56,84188.66,0.00,0
DEBAD-0000018251,4091797,DMS DIRECT MAIL SERVICE GMBH,60,GERMANY,74.85,60,60,7331,Services,70..89 - Services,73 - Business Services,Direct mail advertising services,13771.53,315841986,DMS Direct Mail Service GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,481.81,0.00,10500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2789.72,0.00,AGENTS
DEBAD-0000018444,70784,SYZYGY DEUTSCHLAND GMBH,110,GERMANY,72.6,0,110,7379,Services,70..89 - Services,73 - Business Services,Computer related services N.E.C.,172463.14,313905473,Syzygy Deutschland GmbH,0,108708.00,0.00,0.00,0.00,0.00,0.00,0.00,4800.00,22680.00,0.00,0.00,0.00,0.00,0.00,31964.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00,3110.59,0.00,0
DEBAD-0000018444,DE57337,GCT GESELLSCHAFT FUER COMPUTER-TECHNOLOGIE MBH,11,GERMANY,51.84,11,11,5045,Wholesale Trade,50..51 - Wholesale Trade,50 - Wholesale Trade - Durable Goods,Computers & computer peripheral equipment,11896.85,326675386,GCT Gesellschaft für Computer-Technologie mbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10068.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1828.85,0.00,AGENTS
DEBAD-0000018659,3573037,VIATRIS GMBH & CO. KG,450,GERMANY,24.41,450,450,2833,Manufacturing,20..39 - Manufacturing,28 - Chemicals & Allied Products,Medicinal chemicals & botanical products,79952.13,330522769,MEDA Pharma GmbH & Co. KG,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18636.00,0.00,20520.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40796.13,0.00,AGENTS
DEBAD-0000018659,A0158078,ALMIRALL SOFOTEC GMBH,0,0,0,0,0,0,0,0,0,0,4206.67,0,Almirall Sofotec GmbH,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4206.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AGENTS
DEBAD-0000018659,DEG03,DEGUSSA BANK GMBH,732,GERMANY,65.11,0,732,6029,"Finance, Insurance & Real Estate","60..67 - Finance, Insurance & Real Estate",60 - Depository Institutions,"Commercial banks, N.E.C.",1086381.2,318224011,DEGUSSA BANK GMBH,0,208323.00,0.00,0.00,0.00,0.00,0.00,0.00,1422.47,47410.05,0.00,121886.66,0.00,0.00,0.00,17713.21,-11983.50,664844.95,0.00,0.00,0.00,0.00,0.00,36730.35,0.00,0.00,0.00,34.20,0.00,0
