company_name,company_label,address,address_2,postcode,city,sic_4,sic_2,sic_industry_german,sic_industry_english,solon_av_industry,employees,employees_bracket,lat,lon,country
TREUHAUS Immobilien und Hausverwaltung GmbH,TREUHAUS Immobilien und,Eschborner Landstr. 42-50,,60489,Frankfurt am Main,6531,65,"Immobilien-Agenten, Makler u. Verwalter",Real Estate,"Finance, Insurance, and Real Estate",30,Small 10 - 49, 50.1235583   , 8.6078369   ,Germany
Treuverwaltung Sterlepper GmbH,Treuverwaltung Sterlepper GmbH,Berger Str. 202,,60385,Frankfurt am Main,6719,67,Sonstige Holding-Gesellschaften,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",10,Small 10 - 49, 50.1225700   , 8.7080900   ,Germany
Triangel GbR,Triangel GbR,Rossertstr. 8,,60323,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,12,Small 10 - 49, 50.1162875   , 8.6702706   ,Germany
TRIAS Werbe GmbH,TRIAS Werbe GmbH,Karlstr. 16,,60329,Frankfurt am Main,7319,73,Sonstige Werbung,Business Services,Services,40,Small 10 - 49, 50.1080706   , 8.6713871   ,Germany
Tribe Technologies GmbH,Tribe Technologies GmbH,Emil-von-Behring-Str. 8-14,,60439,Frankfurt am Main,7371,73,Programmierungsdienste für Computer etc.,Business Services,Services,30,Small 10 - 49, 50.1599900   , 8.6454900   ,Germany
Trifels-Verlag GmbH & Co. Produktions KG,Trifels-Verlag GmbH & Co.,Karlstr. 16,,60329,Frankfurt am Main,2741,27,"Versch. Publikationen, Drucksachen f. gewerbl. Zwecke","Printing, Publishing and Allied Industries",Manufacturing,42,Small 10 - 49, 50.1080706   , 8.6713871   ,Germany
Trilogy Writing & Consulting GmbH,Trilogy Writing & Consulting,Falkensteiner Str. 77,,60322,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,26,Small 10 - 49, 50.1213400   , 8.6720600   ,Germany
TRINITY Management Systems GmbH,TRINITY Management Systems,Walter-Leiske-Str. 2,,60320,Frankfurt am Main,7372,73,Fertige Software,Business Services,Services,20,Small 10 - 49, 50.1396151   , 8.6758600   ,Germany
Triplesense Reply GmbH,Triplesense Reply GmbH,Hanauer Landstr. 184,,60314,Frankfurt am Main,7311,73,Werbeagenturen,Business Services,Services,60,Medium 50 - 249, 50.1119900   , 8.7128595   ,Germany
TRIUVA Kapitalverwaltungsgesellschaft mbH,TRIUVA,Am Flughafen,,60549,Frankfurt am Main,6726,67,Sonstige Investmentgesellschaften,Holding and Other Investment Offices,"Finance, Insurance, and Real Estate",100,Medium 50 - 249, 50.0413810   , 8.5800547   ,Germany
Trowe Frankfurt GmbH Versicherungs-Makler,Trowe Frankfurt GmbH,Eschenheimer Anlage 28,,60318,Frankfurt am Main,6411,64,"Versicherungsagenturen, Makler u. Dienstleistungen","Insurance Agents, Brokers and Service","Finance, Insurance, and Real Estate",12,Small 10 - 49, 50.1206478   , 8.6876377   ,Germany
TRUPP Bau GmbH,TRUPP Bau GmbH,Ludwig-Scriba-Str. 25,,65929,Frankfurt am Main,1752,17,Fußbodenverlegung u. andere Fußbodenarbeiten,Construction - Special Trade Contractors,Construction,20,Small 10 - 49, 50.0983072   , 8.5430878   ,Germany
TRUST - International Hotel Reservation Services GmbH,TRUST - International Hotel,Unterschweinstiege 2-14,,60549,Frankfurt am Main,8999,89,Sonstige Dienstleistungen,"Services, Not Elsewhere Classified",Nonclassified Establishments,107,Medium 50 - 249, 50.0413810   , 8.5800547   ,Germany
T-Systems International GmbH,T-Systems International GmbH,Hahnstr. 43d,,60528,Frankfurt am Main,7379,73,Sonstige Dienstleistungen auf dem Computersektor,Business Services,Services,19220,Large 250 +, 50.0810641   , 8.6296390   ,Germany
TTR Group GmbH,TTR Group GmbH,Dreieichstr. 59,,60594,Frankfurt am Main,8748,87,Sonstige Beratungsdienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,50,Small 10 - 49, 50.1059565   , 8.6869270   ,Germany
ttsp hwp seidel Planungsgesellschaft mbH,ttsp hwp seidel,Hanauer Landstr. 187-189,,60314,Frankfurt am Main,8712,87,Architektendienste,"Engineering, Accounting, Research, Management & Related Svcs",Services,25,Small 10 - 49, 50.1119900   , 8.7128595   ,Germany
TuneUp Software GmbH,TuneUp Software GmbH,Eschenheimer Anlage 1,,60316,Frankfurt am Main,5045,50,"Computer, Computerzubehör u. Software",Wholesale Trade - Durable Goods,Wholesale & retail trade,24,Small 10 - 49, 50.1212192   , 8.6902567   ,Germany
